carrier,Flight_id,departure_airport,arrival_airport,date,take_off_time,landing_time,flight_time,price
Malta Air,FR 7075,Rome-Fiumicino,Bari,2024-05-20,17:45,18:50,1:5,"27,49"
Malta Air,FR 7077,Rome-Fiumicino,Bari,2024-05-20,20:55,22:00,1:5,"27,49"
